  PID  PPID STAT COMMAND
  422     1 S    /System/Library/CoreServices/Dock.app/Contents/MacOS/Dock
  423     1 S    /usr/libexec/sharingd
  424     1 S    /System/Library/CoreServices/ControlCenter.app/Contents/MacOS/ControlCenter
  425     1 S    /System/Library/CoreServices/SystemUIServer.app/Contents/MacOS/SystemUIServer
  426     1 S    /System/Library/CoreServices/Finder.app/Contents/MacOS/Finder
  427     1 S    /System/Library/Frameworks/ApplicationServices.framework/Frameworks/ATS.framework/Support/fontd
  430     1 Ss   /usr/sbin/systemsoundserverd
  431     1 S    /System/Library/CoreServices/Spotlight.app/Contents/MacOS/Spotlight
  432     1 Ss   /System/Library/Frameworks/QuickLookUI.framework/Versions/A/XPCServices/QuickLookUIService.xpc/Contents/MacOS/QuickLookUIService
  433     1 S    /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/ATS.framework/Versions/A/Support/fontworker
  434     1 Ss   /usr/sbin/filecoordinationd
  435     1 S    /System/Library/PrivateFrameworks/VoiceShortcuts.framework/Versions/A/Support/siriactionsd
  436     1 S    /System/Library/CoreServices/iconservicesagent
  437     1 S    /System/Library/PrivateFrameworks/CalendarAgent.framework/Executables/CalendarAgent
  438     1 S    /System/Library/Frameworks/ColorSync.framework/Support/colorsync.useragent
  439     1 S    /System/Library/PrivateFrameworks/CoreParsec.framework/parsecd
  440     1 S    /System/Library/CoreServices/CoreServicesUIAgent.app/Contents/MacOS/CoreServicesUIAgent
  441     1 Ss   automountd
  442     1 S    /System/Library/PrivateFrameworks/UserActivity.framework/Agents/useractivityd
  443     1 S    /System/Library/PrivateFrameworks/AMPDevices.framework/Versions/A/Support/AMPDeviceDiscoveryAgent --launchd
  444     1 Ss   /System/Library/CoreServices/Dock.app/Contents/XPCServices/com.apple.dock.extra.xpc/Contents/MacOS/com.apple.dock.extra
  446     1 S    /System/Library/Frameworks/QuickLookThumbnailing.framework/Support/com.apple.quicklook.ThumbnailsAgent
  448     1 Ss   /usr/sbin/WirelessRadioManagerd
  449     1 S    /System/Library/PrivateFrameworks/TelephonyUtilities.framework/callservicesd
  450     1 Ss   /System/Library/PrivateFrameworks/CalendarNotification.framework/Versions/A/XPCServices/CalNCService.xpc/Contents/MacOS/CalNCService
  451     1 S    /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
  452     1 S    /usr/libexec/avconferenced
  455     1 S    /System/Library/PrivateFrameworks/StatusKit.framework/StatusKitAgent
  456     1 S    /usr/libexec/triald
  458     1 Ss   /System/Library/CoreServices/ClimateProxy.app/Contents/PlugIns/WeatherWidget.appex/Contents/MacOS/WeatherWidget -AppleLanguages ("en-IN")
  460     1 S    /System/Library/PrivateFrameworks/AppleMediaServicesUI.framework/amsengagementd
  461     1 S    /System/Library/PrivateFrameworks/UsageTracking.framework/Versions/A/UsageTrackingAgent
  463     1 Ss   /System/Library/CoreServices/Screen Time.app/Contents/PlugIns/ScreenTimeWidgetExtension.appex/Contents/MacOS/ScreenTimeWidgetExtension -AppleLanguages ("en-IN")
  467     1 Ss   /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
  471     1 S    /System/Library/PrivateFrameworks/IMCore.framework/imagent.app/Contents/MacOS/imagent
  472     1 S    /System/Library/PrivateFrameworks/ScreenTimeCore.framework/Versions/A/ScreenTimeAgent
  473     1 S    /System/Library/Frameworks/AudioToolbox.framework/AudioComponentRegistrar
  476     1 Ss   /System/Library/Frameworks/AudioToolbox.framework/XPCServices/CarbonComponentScannerXPC.xpc/Contents/MacOS/CarbonComponentScannerXPC
  478     1 S    /System/Library/CoreServices/pbs
  479     1 S    /System/Library/CoreServices/CoreLocationAgent.app/Contents/MacOS/CoreLocationAgent
  480     1 S    /System/Library/PrivateFrameworks/iCloudNotification.framework/iCloudNotificationAgent
  481     1 S    /System/Library/PrivateFrameworks/CallHistory.framework/Support/CallHistoryPluginHelper
  482     1 S    /System/Library/PrivateFrameworks/IMDPersistence.framework/XPCServices/IMDPersistenceAgent.xpc/Contents/MacOS/IMDPersistenceAgent
  483     1 S    /usr/libexec/fmfd
  484     1 Ss   /System/Library/PrivateFrameworks/TelephonyUtilities.framework/XPCServices/com.apple.FaceTime.FTConversationService.xpc/Contents/MacOS/com.apple.FaceTime.FTConversationService
  485     1 Ss   /System/Applications/Calendar.app/Contents/PlugIns/CalendarWidgetExtension.appex/Contents/MacOS/CalendarWidgetExtension -AppleLanguages ("en-IN")
  486     1 Ss   /System/Library/CoreServices/Clock.app/Contents/PlugIns/WorldClockWidget.appex/Contents/MacOS/WorldClockWidget -AppleLanguages ("en-IN")
  487     1 Ss   /System/Applications/Stocks.app/Contents/PlugIns/StocksWidget.appex/Contents/MacOS/StocksWidget -AppleLanguages ("en-IN")
  490     1 S    /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoteagent
  491     1 S    /usr/libexec/WiFiVelocityAgent
  494     1 S    /System/Library/CoreServices/UIKitSystem.app/Contents/MacOS/UIKitSystem system_app_start
  497     1 Ss   /System/Library/PrivateFrameworks/XprotectFramework.framework/Versions/A/XPCServices/XprotectService.xpc/Contents/MacOS/XprotectService
  498     1 Ss   /usr/libexec/wifivelocityd
  502     1 Ss   /System/Library/PrivateFrameworks/AmbientDisplay.framework/Versions/A/XPCServices/com.apple.AmbientDisplayAgent.xpc/Contents/MacOS/com.apple.AmbientDisplayAgent
  508     1 Ss   /System/Library/Frameworks/OpenGL.framework/Versions/A/Libraries/CVMServer
  510     1 Ss   /System/Library/PrivateFrameworks/SiriInference.framework/Support/siriinferenced
  514     1 S    /Library/Apple/System/Library/CoreServices/SafariSupport.bundle/Contents/MacOS/SafariLaunchAgent
  516     1 S    /System/Library/PrivateFrameworks/AppStoreDaemon.framework/Support/appstoreagent
  529     1 Ss   /System/Library/PrivateFrameworks/InstallCoordination.framework/Support/installcoordinationd
  530     1 S    /usr/libexec/promotedcontentd
  531     1 Ss   /System/Library/PrivateFrameworks/AppStoreDaemon.framework/Versions/A/XPCServices/com.apple.AppStoreDaemon.StorePrivilegedODRService.xpc/Contents/MacOS/com.apple.AppStoreDaemon.StorePrivilegedODRService
  532     1 S    /System/Library/Frameworks/InputMethodKit.framework/Resources/imklaunchagent
  533     1 Ss   /System/Library/Input Methods/PressAndHold.app/Contents/PlugIns/PAH_Extension.appex/Contents/MacOS/PAH_Extension -AppleLanguages ("en-IN")
  535     1 S    /System/Library/PrivateFrameworks/Synapse.framework/Support/contentlinkingd
  540     1 S    /System/Library/PrivateFrameworks/NewDeviceOutreach.framework/ndoagent
  543     1 S    /usr/libexec/diagnosticextensionsd
  544     1 S    /System/Library/PrivateFrameworks/AssistantServices.framework/Versions/A/Support/assistantd
